A	CreditItems	CreditContents																	
A	Title	Greensleeves																	
A	Music by	Anonymous(Traditional)																	
A	Music source	https://www.cpdl.org/wiki/index.php/Greensleeves																	
A	Music license	CPDL License																	
A	Music license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL																	
A	Music change	None																	
A	Lyrics by	Anonymous; but sometimes attributed to Henry VIII																	
A	Lyrics source	https://www.cpdl.org/wiki/index.php/Greensleeves_(Anonymous)																	
A	Lyrics license	CPDL License																	
A	Lyrics license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL																	
A	Lyrics change	None																	
A	Disclaimer	No warranties are given.																	
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3	4	5	6		
B	1					A-					1	A-	I	I	Thy	We-	G-		
B	2					"las,"						"las,"	have	bought	smock	ll	reen		
B	3					my						my	been	thee	of	I	s-		
B	4					lo-						lo-	re-	pet-	si-	pra-	leev-		
B	5					"ve,"						"ve,"	a-	ti-	"lk,"	y	es		
B	6					you						you	dy	coats	both	to	now		
B	7					do						do	at	of	fair	God	fare-		
B	8					me						me	your	the	and	on	"well,"		
B	9					wro-						wro-	ha-	be-	whi-	hi-	a-		
B	10					"ng,"						"ng,"	"nd,"	"st,"	te	gh	di-		
B	11					To						To	To	The	With	That	"eu,"		
B	12					cast						cast	grant	cloth	gold	thou	God		
B	13					me						me	what-	so	em-	my	I		
B	14					o-						o-	e-	fine	broid-	constan-	pra-		
B	15					ff						ff	v-	as	er-	c-	y		
B	16					dis-						dis-	er	it	ed	y	to		
B	17					court-						court-	thou	mi-	gor-	may-	pro-		
B	18					eous-						eous-	wouldst	ght	geous-	st	sper		
B	19					ly.						ly.	"crave;,"	be;	ly;	"see,"	"thee,"		
B	20					For						For	I	I	Thy	And	For		
B	21					I						I	have	gave	pet-	that	I		
B	22					have						have	both	thee	ti-	yet	am		
B	23					lov-						lov-	wa-	je-	co-	on-	sti-		
B	24					ed						ed	ger-	we-	at	ce	ll		
B	25					you						you	ed	lls	of	be-	thy		
B	26					well						well	life	for	sen-	fore	lov-		
B	27					and						and	and	thy	dal	I	er		
B	28					lo-						lo-	la-	che-	ri-	di-	tru-		
B	29					"ng,"						"ng,"	"nd,"	"st,"	"ght,"	"e,"	"e,"		
B	30					De-						De-	Your	And	And	Thou	Come		
B	31					li-						li-	lo-	a-	the-	wilt	on-		
B	32					gh-						gh-	ve	ll	se	vou-	ce		
B	33					ting						ting	and	this	I	ch-	a-		
B	34					in						in	goo-	co-	bou-	sa-	ga-		
B	35					you-						you-	d-	st	ght	fe	in		
B	36					r						r	will	I	thee	to	and		
B	37					compa-						compa-	for to	spent on	glad-	love	love		
B	38					ny.						ny.	have.	thee.	ly.	me.	me.		
B	39					Green						Green	Green	Green	Green	Green	Green		
B	40					sleev-						sleev-	sleev-	sleev-	sleev-	sleev-	sleev-		
B	41					es						es	es	es	es	es	es		
B	42					was						was	was	was	was	was	was		
B	43					all						all	all	all	all	all	all		
B	44					my						my	my	my	my	my	my		
B	45					j-						j-	j-	j-	j-	j-	j-		
B	46					o-						o-	o-	o-	o-	o-	o-		
B	47					y						y	y	y	y	y	y		
B	48					Gree-						Gree-	Gree-	Gree-	Gree-	Gree-	Gree-		
B	49					n						n	n	n	n	n	n		
B	50					sleev-						sleev-	sleev-	sleev-	sleev-	sleev-	sleev-		
B	51					es						es	es	es	es	es	es		
B	52					was						was	was	was	was	was	was		
B	53					my						my	my	my	my	my	my		
B	54					de-						de-	de-	de-	de-	de-	de-		
B	55					"light,"						"light,"	light.	light.	light.	light.	light.		
B	56					Green						Green	Green	Green	Green	Green	Green		
B	57					sleeves						sleeves	sleeves	sleeves	sleeves	sleeves	sleeves		
B	58					was						was	was	was	was	was	was		
B	59					my						my	my	my	my	my	my		
B	60					heart						heart	heart	heart	heart	heart	heart		
B	61					of						of	of	of	of	of	of		
B	62					go-						go-	go-	go-	go-	go-	go-		
B	63					"ld,"						"ld,"	"ld,"	"ld,"	"ld,"	"ld,"	"ld,"		
B	64					And						And	And	And	And	and	And		
B	65					who						who	who	who	who	who	who		
B	66					but						but	but	but	but	but	but		
B	67					my						my	my	my	my	my	my		
B	68					l-						l-	l-	l-	l-	l-	l-		
B	69					a-						a-	a-	a-	a-	a-	a-		
B	70					dy						dy	dy	dy	dy	dy	dy		
B	71					Green						Green	Green	Green	Green	Green	Green		
B	72					sleeves.						sleeves.	sleeves.	sleeves.	sleeves.	sleeves.	sleeves.		
B	73					I					2								
B	74					have													
B	75					been													
B	76					re-													
B	77					a-													
B	78					dy													
B	79					at													
B	80					your													
B	81					ha-													
B	82					"nd,"													
B	83					To													
B	84					grant													
B	85					what-													
B	86					e-													
B	87					v-													
B	88					er													
B	89					thou													
B	90					wouldst													
B	91					"crave;,"													
B	92					I													
B	93					have													
B	94					both													
B	95					wa-													
B	96					ger-													
B	97					ed													
B	98					life													
B	99					and													
B	100					la-													
B	101					"nd,"													
B	102					Your													
B	103					lo-													
B	104					ve													
B	105					and													
B	106					goo-													
B	107					d-													
B	108					will													
B	109					for to													
B	110					have.													
B	111					Green													
B	112					sleev-													
B	113					es													
B	114					was													
B	115					all													
B	116					my													
B	117					j-													
B	118					o-													
B	119					y													
B	120					Gree-													
B	121					n													
B	122					sleev-													
B	123					es													
B	124					was													
B	125					my													
B	126					de-													
B	127					light.													
B	128					Green													
B	129					sleeves													
B	130					was													
B	131					my													
B	132					heart													
B	133					of													
B	134					go-													
B	135					"ld,"													
B	136					And													
B	137					who													
B	138					but													
B	139					my													
B	140					l-													
B	141					a-													
B	142					dy													
B	143					Green													
B	144					sleeves.													
B	145					I					3								
B	146					bought													
B	147					thee													
B	148					pet-													
B	149					ti-													
B	150					coats													
B	151					of													
B	152					the													
B	153					be-													
B	154					"st,"													
B	155					The													
B	156					cloth													
B	157					so													
B	158					fine													
B	159					as													
B	160					it													
B	161					mi-													
B	162					ght													
B	163					be;													
B	164					I													
B	165					gave													
B	166					thee													
B	167					je-													
B	168					we-													
B	169					lls													
B	170					for													
B	171					thy													
B	172					che-													
B	173					"st,"													
B	174					And													
B	175					a-													
B	176					ll													
B	177					this													
B	178					co-													
B	179					st													
B	180					I													
B	181					spent on													
B	182					thee.													
B	183					Green													
B	184					sleev-													
B	185					es													
B	186					was													
B	187					all													
B	188					my													
B	189					j-													
B	190					o-													
B	191					y													
B	192					Gree-													
B	193					n													
B	194					sleev-													
B	195					es													
B	196					was													
B	197					my													
B	198					de-													
B	199					light.													
B	200					Green													
B	201					sleeves													
B	202					was													
B	203					my													
B	204					heart													
B	205					of													
B	206					go-													
B	207					"ld,"													
B	208					And													
B	209					who													
B	210					but													
B	211					my													
B	212					l-													
B	213					a-													
B	214					dy													
B	215					Green													
B	216					sleeves.													
B	217					Thy					4								
B	218					smock													
B	219					of													
B	220					si-													
B	221					"lk,"													
B	222					both													
B	223					fair													
B	224					and													
B	225					whi-													
B	226					te													
B	227					With													
B	228					gold													
B	229					em-													
B	230					broid-													
B	231					er-													
B	232					ed													
B	233					gor-													
B	234					geous-													
B	235					ly;													
B	236					Thy													
B	237					pet-													
B	238					ti-													
B	239					co-													
B	240					at													
B	241					of													
B	242					sen-													
B	243					dal													
B	244					ri-													
B	245					"ght,"													
B	246					And													
B	247					the-													
B	248					se													
B	249					I													
B	250					bou-													
B	251					ght													
B	252					thee													
B	253					glad-													
B	254					ly.													
B	255					Green													
B	256					sleev-													
B	257					es													
B	258					was													
B	259					all													
B	260					my													
B	261					j-													
B	262					o-													
B	263					y													
B	264					Gree-													
B	265					n													
B	266					sleev-													
B	267					es													
B	268					was													
B	269					my													
B	270					de-													
B	271					light.													
B	272					Green													
B	273					sleeves													
B	274					was													
B	275					my													
B	276					heart													
B	277					of													
B	278					go-													
B	279					"ld,"													
B	280					And													
B	281					who													
B	282					but													
B	283					my													
B	284					l-													
B	285					a-													
B	286					dy													
B	287					Green													
B	288					sleeves.													
B	289					We-					5								
B	290					ll													
B	291					I													
B	292					pra-													
B	293					y													
B	294					to													
B	295					God													
B	296					on													
B	297					hi-													
B	298					gh													
B	299					That													
B	300					thou													
B	301					my													
B	302					constan-													
B	303					c-													
B	304					y													
B	305					may-													
B	306					st													
B	307					"see,"													
B	308					And													
B	309					that													
B	310					yet													
B	311					on-													
B	312					ce													
B	313					be-													
B	314					fore													
B	315					I													
B	316					di-													
B	317					"e,"													
B	318					Thou													
B	319					wilt													
B	320					vou-													
B	321					ch-													
B	322					sa-													
B	323					fe													
B	324					to													
B	325					love													
B	326					me.													
B	327					Green													
B	328					sleev-													
B	329					es													
B	330					was													
B	331					all													
B	332					my													
B	333					j-													
B	334					o-													
B	335					y													
B	336					Gree-													
B	337					n													
B	338					sleev-													
B	339					es													
B	340					was													
B	341					my													
B	342					de-													
B	343					light.													
B	344					Green													
B	345					sleeves													
B	346					was													
B	347					my													
B	348					heart													
B	349					of													
B	350					go-													
B	351					"ld,"													
B	352					and													
B	353					who													
B	354					but													
B	355					my													
B	356					l-													
B	357					a-													
B	358					dy													
B	359					Green													
B	360					sleeves.													
B	361					G-					6								
B	362					reen													
B	363					s-													
B	364					leev-													
B	365					es													
B	366					now													
B	367					fare-													
B	368					"well,"													
B	369					a-													
B	370					di-													
B	371					"eu,"													
B	372					God													
B	373					I													
B	374					pra-													
B	375					y													
B	376					to													
B	377					pro-													
B	378					sper													
B	379					"thee,"													
B	380					For													
B	381					I													
B	382					am													
B	383					sti-													
B	384					ll													
B	385					thy													
B	386					lov-													
B	387					er													
B	388					tru-													
B	389					"e,"													
B	390					Come													
B	391					on-													
B	392					ce													
B	393					a-													
B	394					ga-													
B	395					in													
B	396					and													
B	397					love													
B	398					me.													
B	399					Green													
B	400					sleev-													
B	401					es													
B	402					was													
B	403					all													
B	404					my													
B	405					j-													
B	406					o-													
B	407					y													
B	408					Gree-													
B	409					n													
B	410					sleev-													
B	411					es													
B	412					was													
B	413					my													
B	414					de-													
B	415					light.													
B	416					Green													
B	417					sleeves													
B	418					was													
B	419					my													
B	420					heart													
B	421					of													
B	422					go-													
B	423					"ld,"													
B	424					And													
B	425					who													
B	426					but													
B	427					my													
B	428					l-													
B	429					a-													
B	430					dy													
B	431					Green													
B	432					sleeves.													
B	433																		
B	434																		
B	435																		
B	436																		
B	437																		
B	438																		
