NoteID,Finger Number,Memo,Lyrics,Notation Left,Notation Right
1,5,,,,
2,1,,,,
3,2,,,,
4,3,,,,
5,4,,,,
6,5,,,,
7,1,,,,
8,1,,,,
9,5,,,,
10,1,,,,
11,2,,,,
12,3,,,,
13,4,,,,
14,5,,,,
15,1,,,,
16,1
17,4
18,5
19,4
20,3
21,2
22,3
23,4
24,3
25,2
26,1
27,2
28,1
29,2
30,3
31,1
32,2
33,5
34,1
35,2
36,3
37,4
38,5
39,1
40,1
41,5
42,1
43,2
44,3
45,4
46,5
47,1
48,1
49,4
50,5
51,4
52,3
53,2
54,3
55,4
56,3
57,2
58,1
59,2
60,3
61,2
62,1
63,2
64,1
65,5
66,3
67,4
68,5
69,3
70,4
71,1
72,2
73,3
74,1
75,4
76,2
77,3
78,4
79,1
80,3
81,2
82,3
83,1
84,1
85,2
86,3
87,1
88,2
89,3
90,4
91,3
92,2
93,4
94,1
95,3
96,4
97,5
98,1
99,2
100,1
101,5
102,1
103,2
104,1
105,5
106,4
107,3
108,2
109,1
110,2
111,3
112,4
113,1
114,2
115,3
116,1
117,2
118,3
119,4
120,3
121,2
122,3
123,5
124,1
125,4
126,1
127,2
128,5
129,5
130,3
131,1
132,4
133,3
134,2
135,3
136,4
137,5
138,1
139,2
140,4
141,1
142,5
143,1
144,2
145,3
146,2
147,3
148,4
149,2
150,4
151,1
152,2
153,1
154,2
155,3
156,4
157,1
158,4
159,3
160,1
161,2
162,1
163,5
164,1
165,5
166,1
167,2
168,3
169,1
170,3
171,1
172,5
173,1
174,3
175,1
176,2
177,1
178,4
179,2
180,1
181,5
182,1
183,3
184,1
185,3
186,2
187,1
188,2
189,3
190,4
191,5
192,1
193,5
194,3
195,4
196,1
197,2
198,1
199,5
200,3
201,1
202,3
203,5
