A	CreditItems	CreditContents																
A	Title	Greensleeves Guitar																
A	Music by	Traditional; David Kastrup																
A	Music source	https://www.mutopiaproject.org/ftp/Traditional/greensleeves_guitar/greensleeves_guitar-a4.pdf																
A	Music license	2014 by David Kastrup-Mutopia																
A	Music license URI	https://creativecommons.org/licenses/by-sa/4.0/																
A	Music change	None																
A	Lyrics by	Traditional; David Kastrup																
A	Lyrics source	https://www.mutopiaproject.org/ftp/Traditional/greensleeves_guitar/greensleeves_guitar-a4.pdf																
A	Lyrics license	2014 by David Kastrup-Mutopia																
A	Lyrics license URI	https://creativecommons.org/licenses/by-sa/4.0/																
A	Lyrics change	None																
A	Disclaimer	No warranties are given.																
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3	4	5		
B	1					A-					1	A-	I	My	Now	Green		
B	2					las						las	have	men	I	sleeves		
B	3					my						my	been	thee	shall			
B	4					love						love	rea-	were	pray	now		
B	5													cloth-				
B	6					you						you	dy	ed	to	fare-		
B	7					do						do	at	all	God	well		
B	8					me						me	your	in	on	a-		
B	9					wrong						wrong	hand	green	high	dieu		
B	10																	
B	11					to						to	to	and	that			
B	12					cast						cast	grant	they	thou	God		
B	13					me						me	what-	did	my	I		
B	14					off						off	e-	e-	con-	pray		
B	15					dis-						dis-	ver	ver	stan-			
B	16														cy	to		
B	17					court-						court-	thou	wait	may-	pro-		
B	18					eous-						eous-	wouldst	on	est	sper		
B	19					ly.						ly.	crave;	thee	see	thee.		
B	20					For						For	I	All	and	For		
B	21					I						I	have	this	that	I		
B	22					have						have	both	was	yet	am		
B	23					lov'd						lov'd	wa-	gal-	more	still		
B	24																	
B	25					thee						thee	gered	ant	be-	thy		
B	26					well						well	life	to	fore	lov-		
B	27					and						and	and	be	I	er		
B	28					long						long	land	seen	die	true 		
B	29																	
B	30					de-						de-	thy	and	thou	come		
B	31					ligh-						ligh-	love	yet	wilt	once		
B	32																	
B	33					ting						ting	and	thou	vouch-	a-		
