A	CreditItems	CreditContents																
A	Title	Auld Lang Syne																
A	Music by	Scotch Air																
A	Music source	https://www.cpdl.org/wiki/images/2/24/37_Auld_Lang_Syne.pdf																
A	Music license	2008 Creative Commons Public Domain Dedication(USA).																
A	Music license URI	https://creativecommons.org/publicdomain/list/																
A	Music change	None																
A	Lyrics by	Robert Burns																
A	Lyrics source	https://en.wikipedia.org/wiki/Auld_Lang_Syne																
A	Lyrics license	CC BY-SA 4.0																
A	Lyrics license URI	https://creativecommons.org/licenses/by-sa/4.0/																
A	Lyrics change	None																
A	Disclaimer	No warranties are given.																
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2	3	4	5		
B	1				mf	Should						Should	And	We	We	And		
B	2					auld						auld	sure-	twa	twa	there's		
B	3																	
B	4					acqu-						acqu-	ly	hae	hae	a		
B	5																	
B	6					ain-						ain-	ye'll	run	pai-	hand		
B	7																	
B	8					tance						tance	be	a-	dl'd	my		
B	9																	
B	10					be						be	your	bout	in	trus-		
B	11																	
B	12					for-						for-	pint-	the	the	ty		
B	13																	
B	14					got						got	stoup!	breas	burn	fere!		
B	15																	
B	16					and						and	and	and	frea	and		
B	17																	
B	18					nev-						nev-	sure-	pou'd	mor-	gie's		
B	19					er						er	ly	the	ning	a		
B	20					brought						brought	I'll	go-	sun	hand		
B	21																	
B	22				cresc.	to						to	be	wans	till	o'		
B	23																	
B	24					mind?						mind?	mine!	fine	dine	thine!		
B	25																	
B	26					Should						Should	And we'll	But We've	But	And We'll		
B	27																	
B	28					auld						auld	tak'	wan-	seas	tak'		
B	29																	
B	30				decresc.	acqu-						acqu-	a	der'd	be-	a		
B	31																	
B	32					ain-						ain-	cup	mony	tween	right		
B	33																	
B	34					tance						tance	o'	a	us	gude-		
B	35					be						be	kind-	wea-	braid	will-		
B	36																	
B	37					for-						for-	ness	ry	hae	ie-		
B	38																	
B	39					got						got	yet	fit	roar'd	waught		
