A	CreditItems	CreditContents													
A	Title	Danny Boy													
A	Music by	Irish air													
A	Music source	https://en.wikipedia.org/wiki/Londonderry_Air													
A	Music license	CC BY-SA 4.0													
A	Music license URI	https://creativecommons.org/licenses/by-sa/4.0/													
A	Music change	None													
A	Lyrics by	Frederic Edward Weatherly													
A	Lyrics source	https://en.wikipedia.org/wiki/Danny_Boy													
A	Lyrics license	CC BY-SA 4.0													
A	Lyrics license URI	https://creativecommons.org/licenses/by-sa/4.0/													
A	Lyrics change	None													
A	Disclaimer	No warranties are given.													
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		1	2		
B	1					Oh					1	Oh	But		
B	2					Dan-						Dan-	when		
B	3					ny						ny	ye		
B	4					boy						boy	come		
B	5														
B	6														
B	7					the 						the 	and		
B	8														
B	9					pipes						pipes	all		
B	10														
B	11					the 						the 	the		
B	12														
B	13														
B	14					pipes						pipes	flowers		
B	15					are						are	are		
B	16														
B	17					ca-						ca-	d-		
B	18														
B	19					ll-						ll-	y-		
B	20					ing						ing	ing		
B	21					From						From	If		
B	22					glen						glen	I		
B	23														
B	24					to						to	am		
B	25														
B	26					glen						glen	dead		
B	27														
B	28					and						and	as		
B	29					down						down	dead		
B	30														
B	31					the 						the 	I		
B	32					moun-						moun-	well		
B	33														
B	34					tain						tain	may		
B	35					side.						side.	be		
B	36														
B	37					the 						the 	Ye'll		
B	38					sum-						sum-	come		
B	39					mer's						mer's	and		
B	40					gone						gone	find		
B	41														
B	42														
B	43					and						and	the		
B	44														
B	45					all						all	place		
B	46					the 						the 	where		
B	47					ro-						ro-	I		
B	48					ses						ses	am		
B	49					fa-						fa-	l-		
B	50					ll-						ll-	y-		
B	51					ing						ing	ing		
B	52														
B	53														
B	54					It's						It's	And		
B	55					you						you	kneel		
B	56					it's						it's	and		
B	57					you						you	say		
B	58					must						must	And		
B	59					gone						gone	A-		
B	60					and						and	ve'		
B	61					I						I	there		
B	62					must						must	for		
B	63					bide.						bide.	me.		
B	64					But						But	And		
B	65														
B	66					come						come	I		
B	67														
B	68					ye						ye	shall		
B	69														
B	70					back						back	hear		
B	71														
B	72					when						when	though		
B	73														
B	74					sum-						sum-	soft		
B	75														
B	76					mer's						mer's	you		
B	77					in						in	tread		
B	78														
B	79					the 						the 	a-		
B	80					mea-						mea-	bo-		
B	81														
B	82					do-						do-	ve		
B	83														
B	84					w						w	me		
B	85														
B	86					Or						Or	And		
B	87														
B	88					when						when	all		
B	89														
B	90					the 						the 	my		
B	91														
B	92					valley'						valley'	grave		
B	93														
B	94					s						s	will		
B	95														
B	96					hushed						hushed	warm-		
B	97														
B	98					and						and	er		
