A	CreditItems	CreditContents																						
A	Title	Salley Gardens SATB																						
A	Music by	Traditional Irish folksong; Arranged by John Christensen																						
A	Music source	https://www.cpdl.org/wiki/images/1/13/CPDL-Sally_Gardens.pdf																						
A	Music license	CPDL License																						
A	Music license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL																						
A	Music change	None																						
A	Lyrics by	William Butler Yeats.																						
A	Lyrics source	https://www.cpdl.org/wiki/images/1/13/CPDL-Sally_Gardens.pdf																						
A	Lyrics license	CPDL License																						
A	Lyrics license URI	https://www.cpdl.org/wiki/index.php/ChoralWiki:CPDL																						
A	Lyrics change	None																						
A	Disclaimer	No warranties are given.																						
B	NoteID	Fingering	Memo	Left	Right	Lyrics1	Lyrics2	Lyrics3	Lyrics4	Lyrics5		s1	s2		a1	a2		t1	t2		b1	b2		
B	1					It					1	It	In		It	In		It	In		It	In		
B	2					was						was	a		was	a		was	a		was	a		
B	3					down						down	fie-		down	field		down	field		down	field		
B	4					by						by	l-		by			by			by			
B	5					the						the	d		the			the			the			
B	6					Sal-						Sal-	by		Sal-	by		Sal-	by		Sal-	by		
B	7					l-						l-	the		ly	the		ly	the		ly	the		
B	8					y						y	-		Gar-	riv-		Gar-	riv-		Gar-	riv-		
B	9					Gar-						Gar-	ri-					dens	er		dens	er		
B	10					dens						dens	ver		dens	er		my	my		my	my		
B	11					m-						m-	m-		my	my		love	love		love	love		
B	12					y						y	y					and	and		and	and		
B	13					love						love	love		love	love								
B	14					and						and	and		and	and		I	I		I	I		
B	15					I						I	I		I	I		did	did		did	did		
B	16					di-						di-	di-		did	did		meet.	stand.		meet.	stand.		
B	17					d						d	d		meet.	stand.		She	and		She	and		
B	18					meet.						meet.	stand.		She	and					passed	on		
B	19					She						She	a-					passed	on		the	my		
B	20					-						-	nd		passed	on		the	my		Sal-	lean-		
B	21					passed						passed	on		the	my					ly	ing		
B	22					the						the	m-		Sal-	lean-		Sal-	lean-		Gar-	shoul-		
B	23					-						-	y		ly	ing		ly	ing		dens	der		
B	24					Sal-						Sal-	lea-		Gar-	shoul-		Gar-	shoul-		on	she		
B	25					l-						l-	n-					dens	der		lit-	placed		
B	26					y						y	ing		dens	der		on	she		tle	her		
B	27					Gar-						Gar-	shoul-		on	she		lit-	placed					
B	28					dens						dens	der					tle	her		snow	snow		
B	29					o-						o-	she		lit-	placed					white	white		
B	30					n						n	-		tle	her		snow	snow		feet.	hand.		
B	31					li-						li-	placed		snow	snow		white	white		She	She		
B	32					tt-						tt-	her		white	white		feet.	hand.		bid	bid		
B	33					le						le	-		feet.	hand.		She	She		me	me		
B	34					snow						snow	snow		She	She		bid	bid		take	take		
B	35					white						white	white		bid	bid		me	me		love	life		
B	36					feet.						feet.	hand.		me	me					ea-	ea-		
B	37					She						She	She		take	take		take	take					
B	38					bid						bid	bid					love	life		sy	sy		
B	39					me						me	me		love	life		ea-	ea-		as	as		
B	40					-						-	-		ea-	ea-					the	the		
B	41					take						take	take		sy	sy		sy	sy		leaves	grass		
B	42					love						love	life		as	as		as	as		grow	grows		
B	43					ea-						ea-	ea-		the	the		the	the		up			
B	44					-						-	-		leaves	grass		leaves	grass		on	on		
B	45					sy						sy	sy		grow	grows		grow	grows		the	the		
B	46					as						as	as		up			up			trees.	wears.		
B	47					the						the	the		on	on		on	on		But	But		
B	48					leaves						leaves	grass		the	the		the	the		I	I		
B	49					grow						grow	gro-		trees.	wears.					was	was		
B	50					up						up	ws		But	But		trees.	wears.		young	young		
B	51					o-						o-	o-					But	But		and	and		
B	52					n						n	n		I	I					fool-	fool-		
B	53					the						the	the		was	was		I	I		ish	ish		
B	54					tre-						tre-	wea-		young	young		was	was		and	and		
B	55					es.						es.	rs.		and	and		young	young		wish			
B	56					Bu-						Bu-	Bu-					and	and		her	now		
B	57					t						t	t		fool-	fool-		fool-	fool-		did	I'm		
B	58					I						I	I					ish	ish		not	full		
B	59					wa-						wa-	wa-		ish	ish		and	and		a-	of		
B	60					s						s	s		and	and		wish			gree.	tears.		
B	61					young						young	young		wish			her	now					
B	62					a-						a-	a-		her	now		did	I'm					
B	63					nd						nd	nd		did	I'm		not	full					
B	64					fool-						fool-	fool-		not	full		a-	of					
B	65					ish						ish	ish		a-	of		gree.	tears.					
B	66					a-						a-	a-											
B	67					nd						nd	nd		gree.	tears.								
B	68					wish						wish	now											
B	69					her						her	I'-											
B	70					did						did	m											
B	71					not						not	full											
B	72					a-						a-	of											
B	73					gree.						gree.	tears.											
B	74					In					2													
B	75					a																		
B	76					fie-																		
B	77					l-																		
B	78					d																		
B	79					by																		
B	80					the																		
B	81					-																		
B	82					ri-																		
B	83					ver																		
B	84					m-																		
B	85					y																		
B	86					love																		
B	87					and																		
B	88					I																		
B	89					di-																		
B	90					d																		
B	91					stand.																		
B	92					a-																		
B	93					nd																		
B	94					on																		
B	95					m-																		
B	96					y																		
B	97					lea-																		
B	98					n-																		
B	99					ing																		
B	100					shoul-																		
B	101					der																		
B	102					she																		
B	103					-																		
B	104					placed																		
B	105					her																		
B	106					-																		
B	107					snow																		
B	108					white																		
B	109					hand.																		
B	110					She																		
B	111					bid																		
B	112					me																		
B	113					-																		
B	114					take																		
B	115					life																		
B	116					ea-																		
B	117					-																		
B	118					sy																		
B	119					as																		
B	120					the																		
B	121					grass																		
B	122					gro-																		
B	123					ws																		
B	124					o-																		
B	125					n																		
B	126					the																		
B	127					wea-																		
B	128					rs.																		
B	129					Bu-																		
B	130					t																		
B	131					I																		
B	132					wa-																		
B	133					s																		
B	134					young																		
B	135					a-																		
B	136					nd																		
B	137					fool-																		
B	138					ish																		
B	139					a-																		
B	140					nd																		
B	141					now																		
B	142					I'-																		
B	143					m																		
B	144					full																		
B	145					of																		
B	146					tears.																		
B	147						It																	
B	148						was																	
B	149						down																	
B	150						by																	
B	151						the																	
B	152						Sal-																	
B	153						ly																	
B	154						Gar-																	
B	155																							
B	156						dens																	
B	157						my																	
B	158																							
B	159						love																	
B	160						and																	
B	161						I																	
B	162						did																	
B	163						meet.																	
B	164						She																	
B	165																							
B	166						passed																	
B	167						the																	
B	168						Sal-																	
B	169						ly																	
B	170						Gar-																	
B	171																							
B	172						dens																	
B	173						on																	
B	174																							
